No event,0.40,-0.20,-0.93,5.16,1565229688917
No event,0.25,0.06,-0.40,5.16,1565229689917
No event,0.22,0.04,-0.73,9.33,1565229690918
No event,0.12,0.03,-0.72,9.33,1565229691918
No event,0.27,-0.17,-0.77,9.33,1565229692918
No event,0.37,-0.12,-0.72,9.33,1565229693919
No event,0.19,-0.12,-0.76,9.33,1565229694918
No event,-0.07,0.24,-0.86,11.31,1565229695919
No event,0.22,-0.08,-0.69,11.31,1565229696919
No event,0.28,0.04,-0.36,11.31,1565229697920
No event,0.27,-0.23,-0.32,11.31,1565229698920
No event,0.54,-0.08,-0.76,11.31,1565229699920
No event,0.30,-0.03,-0.61,11.31,1565229700920
No event,0.34,-0.18,-0.51,8.26,1565229701921
No event,0.47,0.09,-0.69,8.26,1565229702921
No event,0.44,-0.10,-0.67,8.26,1565229703921
No event,0.67,-0.00,-0.87,8.26,1565229704922
No event,0.69,-0.00,-0.62,8.26,1565229705922
No event,0.61,-0.02,-0.37,8.26,1565229706921
No event,0.52,-0.02,-0.50,8.26,1565229707922
No event,-0.01,0.03,-0.88,8.26,1565229708921
No event,-0.06,-0.28,-0.09,8.26,1565229709922
No event,0.08,0.24,-0.37,11.66,1565229710922
No event,-0.04,0.02,-0.26,11.66,1565229711922
No event,0.42,0.18,0.65,11.66,1565229712921
No event,0.23,-0.36,1.01,11.66,1565229713922
No event,0.52,0.20,1.20,11.66,1565229714923
No event,0.34,0.15,1.52,10.47,1565229715923
No event,0.50,0.11,1.62,10.47,1565229716923
No event,0.39,0.14,0.28,10.47,1565229717923
No event,0.32,-0.20,-0.24,10.47,1565229718924
No event,0.16,-0.40,-0.68,10.47,1565229719924
No event,0.67,0.63,-1.22,3.60,1565229720925
No event,0.37,-0.23,-1.02,3.60,1565229721926
No event,0.30,0.00,-0.73,3.60,1565229722926
No event,0.29,-0.11,-0.72,3.60,1565229723926
No event,0.09,0.03,-0.65,3.60,1565229724926
No event,-0.12,-0.08,-0.45,4.73,1565229725926
No event,-0.19,0.03,-0.48,4.73,1565229726926
No event,-0.49,-0.05,-0.74,4.73,1565229727927
No event,-0.45,-0.04,-0.32,4.73,1565229728928
No event,-0.15,0.25,0.02,4.73,1565229729929
No event,-0.04,-0.09,-0.11,7.46,1565229730929
No event,0.07,-0.02,-0.05,7.46,1565229731929
No event,-0.10,0.17,-0.03,7.46,1565229732929
No event,-0.03,-0.11,0.36,7.46,1565229733929
No event,-0.09,-0.03,0.29,7.46,1565229734929
No event,-0.37,0.08,0.12,5.12,1565229735929
No event,-0.29,-0.02,0.16,5.12,1565229736930
No event,-0.15,0.09,0.25,5.12,1565229737930
No event,0.00,-0.18,0.32,5.12,1565229738931
No event,-0.01,0.01,-0.05,5.12,1565229739931
No event,0.04,0.00,-0.20,5.12,1565229740932
No event,-0.02,-0.05,-0.24,2.36,1565229741931
No event,0.09,-0.01,0.15,2.36,1565229742932
No event,0.03,-0.01,-0.09,2.36,1565229743934
No event,0.02,-0.03,-0.33,2.36,1565229744933
No event,0.00,-0.01,-0.31,2.36,1565229745933
No event,-0.01,-0.00,-0.34,1.23,1565229746934
No event,0.01,-0.02,-0.29,1.23,1565229747934
No event,0.02,-0.02,-0.34,1.23,1565229748934
No event,0.00,-0.01,-0.39,1.23,1565229749935
No event,0.01,-0.02,-0.33,1.23,1565229750936
No event,-0.02,0.00,-0.45,1.23,1565229751937
No event,0.10,-0.08,-0.36,1.23,1565229752939
No event,0.07,-0.02,-0.46,1.23,1565229753939
No event,0.09,-0.07,-0.40,1.23,1565229754939
No event,0.01,0.01,-0.43,0.37,1565229755939
No event,0.05,-0.04,-0.39,0.37,1565229756940
No event,-0.05,0.00,-0.44,0.37,1565229757939
No event,0.08,-0.08,-0.46,0.37,1565229758939
No event,0.10,0.04,-0.48,0.37,1565229759939
No event,0.03,-0.03,-0.44,0.17,1565229760939
No event,0.02,-0.03,-0.43,0.17,1565229761940
No event,0.01,-0.01,-0.44,0.17,1565229762940
No event,-0.03,-0.03,-0.27,0.17,1565229763941
No event,-0.05,0.00,-0.24,0.17,1565229764941
No event,-0.02,-0.01,-0.16,0.56,1565229765941
No event,-0.01,-0.01,-0.22,0.56,1565229766941
No event,-0.00,-0.00,-0.21,0.56,1565229767941
No event,-0.00,-0.00,-0.18,0.56,1565229768942
No event,-0.01,0.00,-0.15,0.56,1565229769942
No event,-0.00,-0.01,-0.16,0.31,1565229770942
No event,-0.01,0.00,-0.18,0.31,1565229771942
No event,-0.03,-0.00,-0.15,0.31,1565229772942
No event,-0.04,-0.00,-0.15,0.31,1565229773942
No event,-0.02,-0.01,-0.18,0.31,1565229774942
No event,-0.02,-0.03,-0.17,0.05,1565229775943
No event,-0.01,-0.00,-0.18,0.05,1565229776943
No event,0.06,0.04,-0.20,0.05,1565229777943
No event,-0.07,-0.01,-0.14,0.05,1565229778944
No event,0.02,-0.02,-0.32,0.05,1565229779945
No event,0.09,-0.02,-0.33,0.01,1565229780945
No event,0.12,-0.05,-0.34,0.01,1565229781947
No event,0.08,-0.05,-0.33,0.01,1565229782947
No event,0.11,-0.04,-0.36,0.01,1565229783950
No event,0.08,0.02,-0.45,0.01,1565229784949
No event,0.07,-0.01,-0.40,0.08,1565229785949
No event,0.04,-0.01,-0.40,0.08,1565229786949
No event,-0.02,-0.01,-0.38,0.08,1565229787949
No event,0.03,-0.19,-0.44,0.08,1565229788950
No event,0.01,-0.18,-0.37,0.08,1565229789951
No event,-0.11,-0.30,-0.32,0.00,1565229790952
No event,0.05,0.02,-0.33,0.00,1565229791953
No event,0.06,-0.05,-0.35,0.00,1565229792953
No event,0.03,-0.01,-0.37,0.00,1565229793954
No event,0.05,0.05,-0.41,0.00,1565229794956
No event,0.03,-0.03,-0.24,0.00,1565229795955
No event,-0.02,-0.01,-0.43,0.00,1565229796956
No event,0.28,0.35,-0.10,0.00,1565229797956
No event,-1.42,-0.57,-0.97,0.00,1565229798957
No event,0.12,0.14,0.32,0.00,1565229799958
No event,0.06,0.01,0.35,0.00,1565229800959
No event,0.07,0.01,0.26,0.00,1565229801959
No event,0.21,0.02,0.32,0.00,1565229802959
No event,-0.03,0.01,0.22,0.00,1565229803960
No event,-0.04,-0.00,0.24,0.00,1565229804961
No event,-0.21,0.02,0.20,2.18,1565229805961
No event,-0.17,0.00,0.22,2.18,1565229806962
No event,-0.25,0.01,0.18,2.18,1565229807962
No event,-0.24,0.00,0.21,2.18,1565229808962
No event,-0.32,-0.00,0.19,2.18,1565229809962
No event,-0.20,0.02,0.18,0.37,1565229810963
No event,-0.31,0.01,0.19,0.37,1565229811963
No event,-0.34,-0.00,0.15,0.37,1565229812963
No event,-0.25,0.02,0.12,0.37,1565229813964
No event,-0.32,-0.00,0.06,0.37,1565229814964
No event,-0.37,0.00,0.08,0.55,1565229815964
No event,-0.37,-0.01,0.05,0.55,1565229816964
No event,-0.37,0.00,0.04,0.55,1565229817965
No event,-0.36,-0.00,0.01,0.55,1565229818966
No event,-0.43,-0.00,-0.01,0.55,1565229819965
No event,-1.46,-0.21,-1.35,0.52,1565229820966
No event,-0.77,-0.34,-1.11,0.52,1565229821966
No event,0.56,-0.93,0.23,0.52,1565229822965
No event,0.01,-0.34,0.18,0.52,1565229823965
No event,0.41,-0.25,0.71,0.52,1565229824966
No event,0.00,-0.00,-0.02,0.29,1565229825966
No event,0.20,0.02,-0.04,0.29,1565229826965
No event,0.15,0.01,-0.07,0.29,1565229827967
No event,0.17,-0.00,-0.04,0.29,1565229828967
No event,0.47,-0.03,-0.20,0.29,1565229829968
No event,0.43,-0.02,-0.28,0.17,1565229830968
No event,0.43,-0.02,-0.26,0.17,1565229831969
No event,0.37,-0.02,-0.22,0.17,1565229832968
No event,0.31,-0.02,-0.26,0.17,1565229833969
No event,0.10,0.07,-0.56,0.17,1565229834969
No event,0.15,0.00,-0.87,0.14,1565229835970
No event,-0.05,-0.05,-1.04,0.14,1565229836971
No event,-0.46,-0.01,-0.83,0.14,1565229837972
No event,-0.12,-0.28,-0.80,0.14,1565229838973
No event,-0.17,0.22,-1.05,0.14,1565229839972
No event,-0.11,-0.10,-1.10,0.09,1565229840972
No event,0.05,-0.08,-0.52,0.09,1565229841973
No event,0.18,-0.05,-0.28,0.09,1565229842973
No event,0.25,-0.00,-1.12,0.09,1565229843974
No event,0.11,-0.07,-0.97,0.09,1565229844974
No event,0.29,-0.15,-0.95,7.56,1565229845975
No event,0.25,-0.11,-0.99,7.56,1565229846975
No event,0.20,-0.01,-0.22,7.56,1565229847975
No event,0.45,0.06,-0.46,7.56,1565229848975
No event,0.41,-0.05,-0.60,7.56,1565229849975
No event,0.26,-0.17,-0.58,6.39,1565229850975
No event,0.06,-0.14,-0.54,6.39,1565229851976
No event,0.21,0.30,-0.18,6.39,1565229852976
No event,0.10,0.09,0.49,6.39,1565229853977
No event,0.29,0.04,0.91,6.39,1565229854977
No event,0.47,0.44,-0.55,6.39,1565229855978
